FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.3080855,3080855,POINT (16.30391478935817 48.08176849249476),Mödling Arbeitergasse,Mödling Arbeitergasse,"3, 214",,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Arbeitergasse!start|1,
OEFFHALTESTOGD.3080856,3080856,POINT (16.30387452506499 48.081768481197074),Mödling Arbeitergasse,Mödling Arbeitergasse,"3, 214",,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Arbeitergasse!start|1,
OEFFHALTESTOGD.3080857,3080857,POINT (16.30343868793253 48.07973999273725),Mödling Hartigstraße,Mödling Hartigstraße,"3, 219",,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hartigstraße!start|1,
OEFFHALTESTOGD.3080858,3080858,POINT (16.303398425222444 48.07973998127306),Mödling Hartigstraße,Mödling Hartigstraße,"3, 219",,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hartigstraße!start|1,
OEFFHALTESTOGD.3080859,3080859,POINT (16.303510587954207 48.0795719926647),Mödling Hartigstraße,Mödling Hartigstraße,"3, 214",,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hartigstraße!start|1,
OEFFHALTESTOGD.3080860,3080860,POINT (16.303470325375173 48.079571981225705),Mödling Hartigstraße,Mödling Hartigstraße,"3, 214",,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hartigstraße!start|1,
OEFFHALTESTOGD.3080861,3080861,POINT (16.29039082535062 48.088519581444444),Mödling Jakob-Thoma-Straße,Mödling Jakob-Thoma-Straße,2,,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Jakob-Thoma-Straße!start|1,
OEFFHALTESTOGD.3080862,3080862,POINT (16.28967222499677 48.090637780942984),Mödling Hochbründlgasse,Mödling Hochbründlgasse,2,,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hochbründlgasse!start|1,
OEFFHALTESTOGD.3080863,3080863,POINT (16.30396869296984 48.085483192199),Mödling Hyrtlstraße,Mödling Hyrtlstraße,219,,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hyrtlstraße!start|1,
OEFFHALTESTOGD.3080864,3080864,POINT (16.304148392337193 48.08535719248324),Mödling Hyrtlstraße,Mödling Hyrtlstraße,"214, 2",,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hyrtlstraße!start|1,
OEFFHALTESTOGD.3080865,3080865,POINT (16.3041081252431 48.08535718126682),Mödling Hyrtlstraße,Mödling Hyrtlstraße,"214, 2",,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hyrtlstraße!start|1,
OEFFHALTESTOGD.3080866,3080866,POINT (16.290664693058005 48.086377396886995),Mödling Hauptstraße,Mödling Hauptstraße,"217, 26259, 207, 263, 268, 262, 269, 265, 214, 216, 264, 270",,3,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hauptstraße!start|1,
OEFFHALTESTOGD.3080867,3080867,POINT (16.29062442517378 48.08637738094548),Mödling Hauptstraße,Mödling Hauptstraße,"217, 26259, 207, 263, 268, 262, 269, 265, 214, 216, 264, 270",,2,https://anachb.vor.at#P|SQ!evaId|Mödling%20Hauptstraße!start|1,
