FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.3076838,3076838,POINT (16.48625952666497 48.209337080804424),In der Au,In der Au,93A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20In%20der%20Au!start|1,
OEFFHALTESTOGD.3076839,3076839,POINT (16.486133726431262 48.2092652812517),In der Au,In der Au,93A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20In%20der%20Au!start|1,
OEFFHALTESTOGD.3076840,3076840,POINT (16.246418326629286 48.223870181411705),Jägerwaldsiedlung,Jägerwaldsiedlung,52A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Jägerwaldsiedlung!start|1,
OEFFHALTESTOGD.3076841,3076841,POINT (16.43367212594639 48.24334688127148),Kagran,Kagran,26A,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076842,3076842,POINT (16.43367212594639 48.24334688127148),Kagran,Kagran,26A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076843,3076843,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076844,3076844,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076845,3076845,POINT (16.433456526555922 48.24364608132466),Kagran,Kagran,"93A, N26",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076846,3076846,POINT (16.43369012661998 48.24325118141221),Kagran,Kagran,N25,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076847,3076847,POINT (16.43369012661998 48.24325118141221),Kagran,Kagran,N25,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076848,3076848,POINT (16.433079226617558 48.24368788103769),Kagran,Kagran,"22A, 94A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076849,3076849,POINT (16.433591326441547 48.243765681466144),Kagran,Kagran,"25, 26",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076850,3076850,POINT (16.433761926396244 48.243299081024844),Kagran,Kagran,26,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076851,3076851,POINT (16.4332319262615 48.243592180920146),Kagran,Kagran,27A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076852,3076852,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076853,3076853,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076854,3076854,POINT (16.43373502641032 48.24326318155983),Kagran,Kagran,"26A, 93A, N26",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076855,3076855,POINT (16.433160126191567 48.24362808109398),Kagran,Kagran,22A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagran!start|1,
OEFFHALTESTOGD.3076856,3076856,POINT (16.49265552632827 48.23275678083002),Hagedornweg,Hagedornweg,97A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Hagedornweg!start|1,
OEFFHALTESTOGD.3076857,3076857,POINT (16.44863802665001 48.23936238116128),Kagraner Anger,Kagraner Anger,94A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Anger!start|1,
OEFFHALTESTOGD.3076858,3076858,POINT (16.448754826630257 48.23934448101898),Kagraner Anger,Kagraner Anger,94A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Anger!start|1,
OEFFHALTESTOGD.3076859,3076859,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076860,3076860,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076861,3076861,POINT (16.430851425884406 48.23949408114099),Kagraner Brücke,Kagraner Brücke,"N25, 93A",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076862,3076862,POINT (16.430743626214085 48.23915298153404),Kagraner Brücke,Kagraner Brücke,25,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076863,3076863,POINT (16.43076601422801 48.239876947615926),Kagraner Brücke,Kagraner Brücke,"VAL 3, N25",,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076864,3076864,POINT (16.430725626066472 48.23987698084987),Kagraner Brücke,Kagraner Brücke,"VAL 3, N25",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076865,3076865,POINT (16.430725626066472 48.23987698084987),Kagraner Brücke,Kagraner Brücke,"VAL 3, N25",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076866,3076866,POINT (16.43068972573277 48.239673581244375),Kagraner Brücke,Kagraner Brücke,25,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076867,3076867,POINT (16.430510026519258 48.23904528152403),Kagraner Brücke,Kagraner Brücke,93A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Brücke!start|1,
OEFFHALTESTOGD.3076868,3076868,POINT (16.445979026165773 48.25339648109193),Kagraner Friedhof,Kagraner Friedhof,31A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Friedhof!start|1,
OEFFHALTESTOGD.3076869,3076869,POINT (16.445862226595427 48.25371948087701),Kagraner Friedhof,Kagraner Friedhof,31A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Friedhof!start|1,
OEFFHALTESTOGD.3076870,3076870,POINT (16.4435985266206 48.250477580982945),Kagraner Platz,Kagraner Platz,31A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076871,3076871,POINT (16.443347025988974 48.2505672814654),Kagraner Platz,Kagraner Platz,"N24, N23, 24A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076872,3076872,POINT (16.443347025988974 48.2505672814654),Kagraner Platz,Kagraner Platz,"N24, N23, 24A",,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076873,3076873,POINT (16.443347025988974 48.2505672814654),Kagraner Platz,Kagraner Platz,"N24, N23, 24A",,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076874,3076874,POINT (16.443347025988974 48.2505672814654),Kagraner Platz,Kagraner Platz,"N24, N23, 24A",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076875,3076875,POINT (16.443347025988974 48.2505672814654),Kagraner Platz,Kagraner Platz,"N24, N23, 24A",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076876,3076876,POINT (16.44310442665522 48.24980158105168),Kagraner Platz,Kagraner Platz,22A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076877,3076877,POINT (16.44270922577641 48.25014258089285),Kagraner Platz,Kagraner Platz,26,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kagraner%20Platz!start|1,
OEFFHALTESTOGD.3076878,3076878,POINT (16.382935326516165 48.23607168123884),Lorenz-Böhler-Unfallkh.,Lorenz-Böhler-Unfallkh.,37A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lorenz-Böhler-Unfallkh.!start|1,
OEFFHALTESTOGD.3076879,3076879,POINT (16.383141926393495 48.236394781126656),Lorenz-Böhler-Unfallkh.,Lorenz-Böhler-Unfallkh.,5A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lorenz-Böhler-Unfallkh.!start|1,
OEFFHALTESTOGD.3076880,3076880,POINT (16.382620925705996 48.23576058102817),Lorenz-Böhler-Unfallkh.,Lorenz-Böhler-Unfallkh.,37A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lorenz-Böhler-Unfallkh.!start|1,
OEFFHALTESTOGD.3076881,3076881,POINT (16.413262425592887 48.172057781550876),Lorystraße,Lorystraße,15A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lorystraße!start|1,
OEFFHALTESTOGD.3076882,3076882,POINT (16.41459192654904 48.17171028088831),Lorystraße,Lorystraße,15A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lorystraße!start|1,
OEFFHALTESTOGD.3076883,3076883,POINT (16.419613525560486 48.16628228098891),Anton-Stilling-Platz,Anton-Stilling-Platz,72A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Anton-Stilling-Platz!start|1,
OEFFHALTESTOGD.3076884,3076884,POINT (16.419559626572003 48.16696528105248),Anton-Stilling-Platz,Anton-Stilling-Platz,72A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Anton-Stilling-Platz!start|1,
OEFFHALTESTOGD.3076885,3076885,POINT (16.494263526208005 48.23194898093055),Margeritenweg,Margeritenweg,97A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Margeritenweg!start|1,
OEFFHALTESTOGD.3076886,3076886,POINT (16.405285326116456 48.20245818105025),Lukschgasse,Lukschgasse,80A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Lukschgasse!start|1,
OEFFHALTESTOGD.3077157,3077157,POINT (16.487193726402875 48.23361848110474),Hausfeldstraße,Hausfeldstraße,"N23, 95B, 85A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Hausfeldstraße!start|1,
OEFFHALTESTOGD.3077158,3077158,POINT (16.487193726402875 48.23361848110474),Hausfeldstraße,Hausfeldstraße,"N23, 95B, 85A",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Hausfeldstraße!start|1,
OEFFHALTESTOGD.3077159,3077159,POINT (16.487193726402875 48.23361848110474),Hausfeldstraße,Hausfeldstraße,"N23, 95B, 85A",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Hausfeldstraße!start|1,
OEFFHALTESTOGD.3077160,3077160,POINT (16.48716682673336 48.233678280640106),Hausfeldstraße,Hausfeldstraße,26,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Hausfeldstraße!start|1,
OEFFHALTESTOGD.3077161,3077161,POINT (16.28814502579411 48.258324881606754),Dreimarkstein,Dreimarkstein,43A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Dreimarkstein!start|1,
OEFFHALTESTOGD.3077162,3077162,POINT (16.287246725904666 48.258605981391156),Dreimarkstein,Dreimarkstein,43A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Dreimarkstein!start|1,
OEFFHALTESTOGD.3077163,3077163,POINT (16.415454326354386 48.26016688152463),Hawlicekgasse,Hawlicekgasse,"29A, 28A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Hawlicekgasse!start|1,
OEFFHALTESTOGD.3077164,3077164,POINT (16.415571126046967 48.23211658112985),Kaisermühlen-VIC,Kaisermühlen-VIC,"92A, 92B",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077165,3077165,POINT (16.416608607508604 48.231847253042545),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077166,3077166,POINT (16.416568225650785 48.23184728130008),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077167,3077167,POINT (16.416568225650785 48.23184728130008),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077168,3077168,POINT (16.415535125606713 48.23284058147203),Kaisermühlen-VIC,Kaisermühlen-VIC,"N90, 20A, 92A, 92B",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077169,3077169,POINT (16.415535125606713 48.23284058147203),Kaisermühlen-VIC,Kaisermühlen-VIC,"N90, 20A, 92A, 92B",,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077170,3077170,POINT (16.415535125606713 48.23284058147203),Kaisermühlen-VIC,Kaisermühlen-VIC,"N90, 20A, 92A, 92B",,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077171,3077171,POINT (16.41575972643491 48.23270898089621),Kaisermühlen-VIC,Kaisermühlen-VIC,N90,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077172,3077172,POINT (16.41575972643491 48.23270898089621),Kaisermühlen-VIC,Kaisermühlen-VIC,N90,,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077173,3077173,POINT (16.41575972643491 48.23270898089621),Kaisermühlen-VIC,Kaisermühlen-VIC,N90,,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077174,3077174,POINT (16.416698408152886 48.232260152629706),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077175,3077175,POINT (16.41665802597029 48.232260180918935),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077176,3077176,POINT (16.41665802597029 48.232260180918935),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N25",,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlen-VIC!start|1,
OEFFHALTESTOGD.3077177,3077177,POINT (16.4416132264349 48.21343168133023),Kaisermühlenstraße,Kaisermühlenstraße,"93A, 92A, N91",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077178,3077178,POINT (16.4416132264349 48.21343168133023),Kaisermühlenstraße,Kaisermühlenstraße,"93A, 92A, N91",,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077179,3077179,POINT (16.4416132264349 48.21343168133023),Kaisermühlenstraße,Kaisermühlenstraße,"93A, 92A, N91",,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077180,3077180,POINT (16.440625125832966 48.21317428145983),Kaisermühlenstraße,Kaisermühlenstraße,N91,,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077181,3077181,POINT (16.440625125832966 48.21317428145983),Kaisermühlenstraße,Kaisermühlenstraße,N91,,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077182,3077182,POINT (16.441613226530393 48.21352148125988),Kaisermühlenstraße,Kaisermühlenstraße,"93A, 92A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaisermühlenstraße!start|1,
OEFFHALTESTOGD.3077183,3077183,POINT (16.341630726161867 48.1966741814925),Kaiserstraße,Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Kaiserstraße!start|1,
OEFFHALTESTOGD.3077184,3077184,POINT (16.340139526703346 48.20402678162258),Burggasse/Kaiserstraße,Burggasse/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Burggasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077185,3077185,POINT (16.33995092626981 48.20452378159799),Burggasse/Kaiserstraße,Burggasse/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Burggasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077186,3077186,POINT (16.340400025478115 48.20429028097214),Burggasse/Kaiserstraße,Burggasse/Kaiserstraße,48A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Burggasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077187,3077187,POINT (16.339393926421756 48.206104281517206),Neustiftgasse/Kaiserstraße,Neustiftgasse/Kaiserstraße,48A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Neustiftgasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077188,3077188,POINT (16.33980712594901 48.2057809815501),Neustiftgasse/Kaiserstraße,Neustiftgasse/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Neustiftgasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077189,3077189,POINT (16.339618525525957 48.20624198095633),Neustiftgasse/Kaiserstraße,Neustiftgasse/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Neustiftgasse/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077190,3077190,POINT (16.34084922666862 48.201871380959176),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,49,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077191,3077191,POINT (16.34070552651112 48.20188338103653),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,N49,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077192,3077192,POINT (16.34070552651112 48.20188338103653),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,N49,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077193,3077193,POINT (16.340588725757264 48.2016079814416),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077194,3077194,POINT (16.34018442548999 48.2017875813185),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,49,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077195,3077195,POINT (16.340013826605475 48.20178158152657),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,N49,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077196,3077196,POINT (16.340013826605475 48.20178158152657),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,N49,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077197,3077197,POINT (16.340418026324805 48.202051081675485),Westbahnstraße/Kaiserstraße,Westbahnstraße/Kaiserstraße,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Westbahnstraße/Kaiserstraße!start|1,
OEFFHALTESTOGD.3077198,3077198,POINT (16.244985434380684 48.137736813662755),Kalksburg Kirchenplatz,Kalksburg Kirchenplatz,"253, 250, N61",,3,https://anachb.vor.at#P|SQ!evaId|Wien%20Kalksburg%20Kirchenplatz!start|1,
OEFFHALTESTOGD.3077381,3077381,POINT (16.37368262580038 48.17797638155234),Laxenburger Str./Gudrunstr.,Laxenburger Str./Gudrunstr.,"U2Z, O, 11, 1",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Laxenburger%20Str./Gudrunstr.!start|1,
OEFFHALTESTOGD.3077382,3077382,POINT (16.373601825990168 48.1786891809823),Laxenburger Str./Gudrunstr.,Laxenburger Str./Gudrunstr.,N66,,11,https://anachb.vor.at#P|SQ!evaId|Wien%20Laxenburger%20Str./Gudrunstr.!start|1,
OEFFHALTESTOGD.3077383,3077383,POINT (16.373601825990168 48.1786891809823),Laxenburger Str./Gudrunstr.,Laxenburger Str./Gudrunstr.,N66,,10,https://anachb.vor.at#P|SQ!evaId|Wien%20Laxenburger%20Str./Gudrunstr.!start|1,
OEFFHALTESTOGD.3077384,3077384,POINT (16.37381742554892 48.17869518096166),Laxenburger Str./Gudrunstr.,Laxenburger Str./Gudrunstr.,"1, 18",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Laxenburger%20Str./Gudrunstr.!start|1,
OEFFHALTESTOGD.3077385,3077385,POINT (16.372146526247175 48.17849748159373),Laxenburger Str./Gudrunstr.,Laxenburger Str./Gudrunstr.,14A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Laxenburger%20Str./Gudrunstr.!start|1,
OEFFHALTESTOGD.3077386,3077386,POINT (16.355213325784316 48.190733780822306),Bezirksamt Margareten,Bezirksamt Margareten,"12A, 59A, 14A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bezirksamt%20Margareten!start|1,
OEFFHALTESTOGD.3077387,3077387,POINT (16.479315525801997 48.24740288143186),Bibernellweg,Bibernellweg,85A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bibernellweg!start|1,
OEFFHALTESTOGD.3077388,3077388,POINT (16.283698426331753 48.22460628126528),Kretschekgasse,Kretschekgasse,44A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kretschekgasse!start|1,
OEFFHALTESTOGD.3077389,3077389,POINT (16.28369842567671 48.22467808113337),Kretschekgasse,Kretschekgasse,44A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Kretschekgasse!start|1,
OEFFHALTESTOGD.3077390,3077390,POINT (16.465310825795193 48.2087623809178),Schierlinggrundbrücke,Schierlinggrundbrücke,95A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Schierlinggrundbrücke!start|1,
OEFFHALTESTOGD.3077391,3077391,POINT (16.46503232676424 48.20901978091105),Schierlinggrundbrücke,Schierlinggrundbrücke,95A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Schierlinggrundbrücke!start|1,
OEFFHALTESTOGD.3077392,3077392,POINT (16.470305426255116 48.173471581318296),Alberner Hafenzufahrtsstraße West,Alberner Hafenzufahrtsstraße West,"79B, 76A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Alberner%20Hafenzufahrtsstraße%20West!start|1,
OEFFHALTESTOGD.3077393,3077393,POINT (16.470503026487613 48.173177980821826),Alberner Hafenzufahrtsstraße West,Alberner Hafenzufahrtsstraße West,"79B, 76A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Alberner%20Hafenzufahrtsstraße%20West!start|1,
OEFFHALTESTOGD.3077394,3077394,POINT (16.322182225906158 48.183409081481955),Bischoffgasse,Bischoffgasse,10A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischoffgasse!start|1,
OEFFHALTESTOGD.3077395,3077395,POINT (16.397802425297563 48.13803658117263),Bischofgasse,Bischofgasse,"N17, 17A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077396,3077396,POINT (16.397802425297563 48.13803658117263),Bischofgasse,Bischofgasse,"N17, 17A",,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077397,3077397,POINT (16.397802425297563 48.13803658117263),Bischofgasse,Bischofgasse,"N17, 17A",,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077398,3077398,POINT (16.397802426288088 48.13810248070063),Bischofgasse,Bischofgasse,"N17, 17A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077399,3077399,POINT (16.397802426288088 48.13810248070063),Bischofgasse,Bischofgasse,"N17, 17A",,13,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077400,3077400,POINT (16.397802426288088 48.13810248070063),Bischofgasse,Bischofgasse,"N17, 17A",,12,https://anachb.vor.at#P|SQ!evaId|Wien%20Bischofgasse!start|1,
OEFFHALTESTOGD.3077401,3077401,POINT (16.34198112604113 48.237070880894),Blaasstraße,Blaasstraße,10A,,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Blaasstraße!start|1,
OEFFHALTESTOGD.3077402,3077402,POINT (16.368598226140264 48.184259580825085),Blechturmgasse,Blechturmgasse,18,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Blechturmgasse!start|1,
OEFFHALTESTOGD.3077403,3077403,POINT (16.368229825764924 48.18412188148691),Blechturmgasse,Blechturmgasse,18,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Blechturmgasse!start|1,
OEFFHALTESTOGD.3077404,3077404,POINT (16.448826725815167 48.177970381318474),Bleibtreustraße,Bleibtreustraße,"76B, 76A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bleibtreustraße!start|1,
OEFFHALTESTOGD.3077405,3077405,POINT (16.449266925479122 48.17801228115011),Bleibtreustraße,Bleibtreustraße,"76B, 76A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Bleibtreustraße!start|1,
OEFFHALTESTOGD.3077406,3077406,POINT (16.425677126228166 48.17119508085825),Blériotgasse,Blériotgasse,"72A, 69A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Blériotgasse!start|1,
OEFFHALTESTOGD.3077407,3077407,POINT (16.425560325528785 48.17073378147894),Blériotgasse,Blériotgasse,"72A, 69A",,2,https://anachb.vor.at#P|SQ!evaId|Wien%20Blériotgasse!start|1,
OEFFHALTESTOGD.3077408,3077408,POINT (16.34045392656263 48.21074988120405),Blindengasse,Blindengasse,5,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Blindengasse!start|1,
OEFFHALTESTOGD.3077409,3077409,POINT (16.340795326081015 48.21100728157578),Blindengasse,Blindengasse,"33, 2, 5",,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Blindengasse!start|1,
OEFFHALTESTOGD.3077410,3077410,POINT (16.331740326038496 48.221236781736216),Blumengasse,Blumengasse,9,,1,https://anachb.vor.at#P|SQ!evaId|Wien%20Blumengasse!start|1,
